Date,fdate,momentum12_AR_1,momentum12_AR_2,momentum12_AR_3,momentum12_AR_4,momentum12_AR_5,momentum12_TR_1,momentum12_TR_2,momentum12_TR_3,momentum12_TR_4,momentum12_TR_5,momentum12_AR_Sig,momentum12_TR_Sig,momentum12_AR_130,momentum12_TR_130,momentum12_TR_BP,momentum12_TR_LO,momentum12_CAR_1,momentum12_CAR_2,momentum12_CAR_3,momentum12_CAR_4,momentum12_CAR_5,momentum12_CTR_1,momentum12_CTR_2,momentum12_CTR_3,momentum12_CTR_4,momentum12_CTR_5,momentum12_CAR_LS,momentum12_CTR_LS,momentum12_CAR_SW,momentum12_CTR_SW,momentum12_CTR_BP,momentum12_CTR_LO,momentum12_CXR_LO,momentum12_CTR_13,momentum12_CADD,momentum12_CTDD
2019-02-28,2019-01-31,-0.12%,-0.48%,0.09%,1.13%,-1.27%,5.97%,4.36%,4.66%,4.92%,4.80%,-1.49%,-0.83%,-1.88%,4.78%,3.43%,5.03%,100,100,100,101,99,106,104,105,105,105,-1.15%,-1.17%,-1.49%,-0.83%,3.43%,5.03%,1.59%,4.78%,-1.49%,-0.83%
2019-03-31,2019-02-28,-0.12%,0.28%,-0.43%,0.83%,-0.75%,-0.97%,-1.59%,-1.77%,-0.61%,-0.83%,-1.60%,-0.29%,-1.25%,-0.50%,1.40%,-0.41%,100,100,100,102,98,105,103,103,104,104,-1.77%,-1.03%,-3.06%,-1.12%,4.88%,4.59%,-0.25%,4.25%,-3.06%,-1.12%
2019-04-30,2019-03-31,-3.73%,-1.21%,-0.16%,-0.61%,-1.21%,0.73%,3.43%,3.55%,3.10%,1.27%,2.07%,0.41%,-0.31%,1.47%,4.02%,1.35%,96,99,99,101,97,106,106,106,108,105,0.71%,-0.49%,-1.06%,-0.71%,9.10%,6.00%,-2.92%,5.79%,-1.06%,-0.71%
2019-05-31,2019-04-30,0.27%,0.75%,1.42%,1.79%,3.22%,-12.02%,-8.36%,-7.58%,-6.05%,-5.22%,2.83%,5.98%,3.89%,-3.63%,-6.47%,-5.43%,96,99,101,103,100,93,97,98,101,100,3.68%,6.27%,1.75%,5.23%,2.04%,0.25%,-1.90%,1.94%,0.00%,0.00%
2019-06-30,2019-05-31,-7.30%,-1.31%,-1.22%,-1.24%,-1.21%,2.54%,5.84%,5.68%,5.90%,7.25%,5.13%,4.62%,0.46%,9.24%,6.83%,7.86%,89,98,100,102,99,95,103,104,107,107,9.99%,11.28%,6.97%,10.09%,9.01%,8.12%,-0.90%,11.37%,0.00%,0.00%
2019-07-31,2019-06-30,-1.71%,0.90%,0.31%,-0.40%,0.79%,-3.36%,0.43%,-0.61%,-0.65%,0.24%,1.73%,2.37%,1.22%,0.70%,1.45%,-0.01%,88,99,100,101,99,92,103,103,106,107,12.74%,15.29%,8.82%,12.70%,10.59%,8.11%,-2.35%,12.14%,0.00%,0.00%
2019-08-31,2019-07-31,-0.09%,-0.88%,0.67%,0.92%,-0.28%,-6.62%,-6.70%,-4.86%,-4.04%,-3.22%,-0.79%,2.77%,-1.31%,-3.08%,-2.11%,-3.91%,88,98,101,102,99,86,97,98,102,104,12.53%,19.20%,7.96%,15.83%,8.26%,3.88%,-4.11%,8.69%,-0.79%,0.00%
2019-09-30,2019-08-31,1.31%,0.77%,1.21%,1.08%,-0.48%,4.11%,4.07%,3.51%,3.03%,-1.77%,-1.75%,-6.68%,-1.42%,-4.72%,1.75%,-2.72%,89,99,102,104,99,90,100,102,105,102,10.52%,12.20%,6.07%,8.09%,10.16%,1.06%,-8.40%,3.56%,-2.53%,-6.68%
2019-10-31,2019-09-30,-5.46%,-2.45%,0.04%,-1.68%,-1.32%,-1.70%,-0.59%,1.51%,0.56%,2.06%,3.22%,3.50%,-0.67%,3.05%,2.20%,2.00%,84,96,102,102,97,88,100,103,106,104,15.11%,16.41%,9.49%,11.87%,12.59%,3.08%,-8.58%,6.72%,0.00%,-3.42%
2019-11-30,2019-10-31,-5.31%,-1.07%,-1.39%,-1.10%,-0.08%,2.05%,3.73%,2.74%,3.18%,4.97%,4.48%,2.79%,1.41%,6.02%,3.75%,5.18%,79,95,101,101,97,90,104,106,109,109,21.13%,19.81%,14.39%,14.99%,16.81%,8.43%,-7.27%,13.14%,0.00%,-0.73%
2019-12-31,2019-11-30,2.66%,0.40%,0.89%,-1.01%,-0.30%,8.35%,4.52%,4.67%,2.58%,3.53%,-2.26%,-3.60%,-0.53%,3.04%,2.79%,4.12%,82,96,101,100,97,97,108,111,112,113,17.54%,14.04%,11.80%,10.85%,20.07%,12.90%,-6.04%,16.59%,-2.26%,-4.30%
2020-01-31,2019-12-31,5.56%,1.13%,1.02%,0.71%,0.70%,2.31%,-3.69%,-2.01%,-2.37%,-0.79%,-4.28%,-2.47%,-0.54%,-1.60%,0.06%,-0.85%,86,97,102,100,98,100,104,109,109,112,11.84%,10.51%,7.01%,8.11%,20.14%,11.93%,-6.90%,14.73%,-6.45%,-6.66%
2020-02-29,2020-01-31,0.37%,-1.13%,-1.71%,-2.23%,-0.14%,-4.98%,-7.77%,-7.76%,-8.66%,-7.11%,-0.85%,-1.40%,-0.42%,-7.09%,-8.00%,-6.67%,86,96,101,98,98,95,96,100,100,104,11.27%,8.15%,6.10%,6.60%,10.53%,4.46%,-5.66%,6.59%,-7.25%,-7.97%
2020-03-31,2020-02-29,-4.71%,-2.81%,-3.42%,-5.64%,-7.94%,-24.73%,-24.77%,-21.64%,-22.52%,-21.45%,-4.61%,1.62%,-9.99%,-21.32%,-13.57%,-21.81%,82,93,97,93,90,71,72,79,77,82,7.68%,11.70%,1.21%,8.33%,-4.46%,-18.32%,-13.44%,-16.14%,-11.53%,-6.48%
2020-04-30,2020-03-31,5.59%,2.81%,0.80%,-0.08%,3.26%,26.69%,18.60%,16.12%,14.03%,19.07%,-0.70%,-4.32%,4.05%,18.46%,13.44%,19.76%,87,96,98,92,93,90,86,91,88,97,5.16%,3.19%,0.49%,3.64%,8.37%,-2.18%,-7.97%,-0.66%,-12.15%,-10.52%
2020-05-31,2020-04-30,4.15%,-1.31%,-3.07%,-1.20%,-0.41%,12.87%,5.01%,5.17%,5.72%,8.71%,-4.11%,-2.84%,-1.99%,8.02%,5.40%,8.87%,91,94,95,91,92,102,90,96,93,106,0.37%,-1.11%,-3.64%,0.71%,14.23%,6.50%,-4.77%,7.31%,-15.76%,-13.06%
2020-06-30,2020-05-31,7.63%,2.06%,0.33%,-1.66%,-0.31%,13.89%,6.87%,6.32%,2.58%,6.38%,-6.23%,-4.23%,-1.66%,6.97%,2.44%,8.24%,98,96,95,90,92,116,96,102,96,113,-7.61%,-8.53%,-9.64%,-3.55%,17.01%,15.27%,0.75%,14.79%,-21.01%,-16.73%
2020-07-31,2020-06-30,1.42%,-0.67%,-2.57%,-0.24%,1.41%,4.93%,2.51%,1.24%,5.03%,5.33%,0.47%,0.45%,2.39%,6.13%,5.73%,5.99%,99,96,93,90,93,122,99,103,100,119,-7.61%,-8.16%,-9.21%,-3.11%,23.71%,22.17%,1.02%,21.82%,-20.63%,-16.35%
2020-08-31,2020-07-31,-2.73%,-0.99%,-1.58%,-2.97%,-6.98%,5.36%,5.75%,4.50%,3.89%,3.63%,-5.58%,-2.44%,-9.94%,1.95%,7.38%,2.68%,96,95,91,87,87,128,104,108,104,123,-11.54%,-9.75%,-14.28%,-5.48%,32.84%,25.45%,-3.73%,24.20%,-25.07%,-18.39%
2020-09-30,2020-08-31,0.90%,2.24%,1.06%,1.12%,1.45%,-4.25%,-2.52%,-2.83%,-2.63%,-1.04%,1.36%,4.01%,2.90%,1.54%,-3.62%,0.34%,97,97,92,88,88,123,102,105,102,122,-11.06%,-6.84%,-13.11%,-1.68%,28.03%,25.88%,0.08%,26.11%,-24.04%,-15.12%
2020-10-31,2020-09-30,-5.71%,-1.99%,-0.01%,0.29%,-1.55%,-0.86%,1.96%,2.08%,2.18%,-0.94%,2.71%,-1.38%,-1.12%,-1.88%,-2.11%,-1.47%,92,95,92,88,87,122,104,107,104,121,-7.36%,-6.92%,-10.76%,-3.04%,25.33%,24.03%,0.73%,23.74%,-21.98%,-16.29%
2020-11-30,2020-10-31,7.16%,2.46%,0.83%,-1.62%,-3.25%,31.90%,21.64%,18.30%,14.06%,16.88%,-9.20%,-10.35%,-6.22%,15.20%,12.26%,18.30%,98,97,93,87,84,161,126,127,118,141,-17.00%,-20.90%,-18.97%,-13.07%,40.70%,46.73%,6.81%,42.55%,-29.17%,-24.95%
2020-12-31,2020-11-30,-0.60%,-0.20%,0.54%,-0.80%,-2.67%,13.75%,8.65%,8.42%,6.19%,8.33%,-3.47%,-5.01%,-4.97%,6.31%,4.57%,7.82%,97,97,94,86,82,183,137,138,126,153,-18.72%,-25.19%,-21.78%,-17.43%,47.13%,58.20%,10.28%,51.55%,-31.62%,-28.71%
2021-01-31,2020-12-31,7.57%,0.39%,-2.34%,-1.53%,8.89%,18.87%,9.37%,3.33%,3.75%,17.18%,6.44%,3.84%,14.45%,22.51%,-0.11%,21.36%,105,97,91,85,89,217,150,142,130,179,-17.64%,-26.45%,-16.75%,-14.26%,46.97%,91.98%,33.95%,85.66%,-27.22%,-25.98%
2021-02-28,2021-01-31,1.53%,2.98%,2.58%,2.19%,2.32%,11.31%,11.04%,9.36%,7.30%,6.32%,-0.09%,-5.71%,1.75%,3.53%,2.93%,5.25%,106,100,94,87,91,242,167,155,140,190,-17.00%,-30.12%,-16.82%,-19.16%,51.27%,102.1%,37.06%,92.21%,-27.28%,-30.21%
2021-03-31,2021-02-28,-2.73%,-1.15%,-0.58%,0.28%,0.02%,1.18%,3.98%,2.26%,4.00%,-0.49%,2.69%,-3.71%,1.49%,-2.97%,3.35%,-1.86%,104,99,93,87,91,245,173,159,145,189,-14.71%,-31.29%,-14.58%,-22.16%,56.34%,98.30%,29.92%,86.50%,-25.33%,-32.80%
2021-04-30,2021-03-31,-1.61%,-0.02%,-0.01%,0.64%,-0.83%,0.81%,2.53%,2.23%,3.34%,-0.15%,-0.84%,-1.47%,-1.94%,-1.31%,5.10%,-0.86%,102,99,93,87,90,247,178,162,150,189,-14.05%,-31.95%,-15.30%,-23.31%,64.32%,96.59%,22.16%,84.07%,-25.96%,-33.79%
2021-05-31,2021-04-30,2.06%,0.64%,-0.89%,-0.86%,-1.35%,2.06%,1.73%,-0.30%,1.99%,1.71%,-4.29%,-0.97%,-4.29%,0.81%,0.33%,1.10%,104,100,92,87,89,252,181,162,153,192,-16.98%,-32.18%,-18.93%,-24.05%,64.86%,98.75%,23.10%,85.56%,-29.13%,-34.43%
2021-06-30,2021-05-31,-1.99%,-0.92%,-1.14%,0.03%,1.35%,4.45%,1.91%,1.85%,1.17%,4.92%,3.44%,0.90%,2.91%,5.95%,2.70%,5.68%,102,99,91,87,90,263,184,165,155,202,-14.22%,-31.87%,-16.14%,-23.37%,69.31%,110.0%,26.78%,96.60%,-26.69%,-33.84%
2021-07-31,2021-06-30,-2.12%,-0.36%,-0.51%,-0.01%,1.00%,-6.56%,-1.56%,-4.09%,-1.29%,-5.33%,2.36%,-0.78%,1.90%,-6.82%,1.50%,-6.58%,100,99,91,87,91,246,181,158,153,191,-11.54%,-31.03%,-14.16%,-23.97%,71.86%,96.22%,16.53%,83.20%,-24.96%,-34.36%
2021-08-31,2021-07-31,-1.38%,-1.20%,0.83%,0.28%,-0.09%,1.81%,1.14%,2.29%,2.59%,3.51%,1.08%,2.15%,-0.12%,4.22%,2.91%,3.58%,98,97,92,87,91,250,183,162,157,198,-10.40%,-29.86%,-13.23%,-22.33%,76.86%,103.2%,17.30%,90.93%,-24.15%,-32.95%
2021-09-30,2021-08-31,0.36%,0.56%,0.16%,-0.72%,-0.97%,-2.88%,-2.43%,-3.29%,-2.91%,-2.50%,-1.70%,-0.14%,-2.07%,-2.81%,-4.39%,-2.77%,99,98,92,86,90,243,179,157,152,193,-11.59%,-29.59%,-14.71%,-22.44%,69.10%,97.61%,19.20%,85.57%,-25.44%,-33.04%
2021-10-31,2021-09-30,-4.92%,-2.13%,-2.52%,0.01%,0.17%,0.37%,2.62%,0.93%,3.86%,3.69%,3.94%,1.87%,0.82%,3.53%,6.70%,2.97%,94,96,90,86,90,244,184,158,158,200,-7.09%,-27.26%,-11.35%,-20.99%,80.43%,103.5%,14.76%,92.12%,-22.50%,-31.79%
2021-11-30,2021-10-31,-6.21%,-2.44%,-1.99%,-0.34%,-0.57%,-10.03%,-4.78%,-3.43%,-2.57%,-4.62%,4.79%,4.15%,0.66%,-3.88%,-1.46%,-5.12%,88,93,88,86,90,219,175,153,154,191,-1.84%,-23.33%,-7.10%,-17.72%,77.79%,93.06%,10.55%,84.67%,-18.79%,-28.96%
2021-12-31,2021-11-30,-3.86%,0.29%,-0.03%,-0.06%,-3.07%,-4.18%,2.67%,-0.04%,3.11%,-0.62%,-1.16%,0.88%,-4.41%,-1.57%,3.46%,-1.84%,85,94,88,86,87,210,179,153,159,189,-1.07%,-20.59%,-8.17%,-16.99%,83.94%,89.51%,4.70%,81.76%,-19.72%,-28.33%
2022-01-31,2021-12-31,12.69%,2.52%,-0.28%,-0.04%,-0.22%,-10.43%,-6.45%,-8.70%,-6.59%,-10.76%,-11.20%,-2.71%,-3.80%,-13.17%,-6.20%,-12.36%,95,96,87,86,87,188,168,139,149,169,-13.84%,-20.86%,-18.45%,-19.24%,72.53%,66.09%,-1.75%,57.82%,-28.71%,-30.27%
